Nederlands;Gronings
De jongen stond wat te kijken, toen hij zo dapper was om naar het scheepskantoor te gaan, voor de vele vragen die hij had.;Jong ston wat te kieken, dou hai zo driest was om noar scheepsketoor te goan, veur de veule vroagen dij hai haar.
Toen moest hij mee naar binnen dat Eppie met de man meeging voor wat gepraat.;Dou mos ter heergoan dat Eppie mit man mit gong veur wat proaterij.
Zijn droom.;Zien dreum.
"""Wat wil hij dan?""";“Wat of hai din wol”?
vroeg de man.;vruig man.
"""Matroos,"" zei Eppie.";“Metroos” zee Eppie.
"""Dat lijkt me wonderlijk."" ""Nou,"" zei de kapitein: ""Je kunt op deze boot wel aanmonsteren"" ""We kunnen nog wel wat mensen gebruiken voor ruig werk.""";“Dat liekt mie meroakels schier.” “Nou “, zee kaptain : “Kins op dizze boot wel aanmonstern” “Wie kinnen nog wel wat lu bruken veur roege waark.”
Vijftien jaar was;Vieftien joar was
Eppie, pa en moeke waren erg onrustig. Veertien dagen later werd er een telegram bezorgd bij allen, daarin stond:;Eppie, pa en moeke slim verdraiteg vanzulm.Vattien doagen loader wer der n telegram bezörgd bie ollu, doar ston in:
Dhr;Dhr
Eppie;Eppie
Mulder kan aanstaande;Mulder kan a.s.
vrijdag bij ons aan boord komen.;Vrijdag bij ons aan boord komen.
Om twaalf uur wordt u verwacht, wilt u zich melden bij de kapitein.;Om twaalf uur wordt u verwacht, wilt u zich melden bij de kapitein.
Neem een tas met kleren mee, de rest is wel aan boord.;Neem een zak met kleren mee, de rest is wel aan boord.
Wij zien u dus vrijdag om twaalf uur.;Wij zien u dus Vrijdag om twaalf uur.
Kapitein;Kapitein
Haarslag a.b. van de coaster “Marie;Haarslag a.b. van de coaster “Marie
Helena”;Helena”
Moeke was helemaal van slag, pa keek strak voor zich uit.;Moeke haildaal van slag, pa kikt stoens veur zok oet.
Eppie was zo blij met deze tijden.;Eppie was zo blied mit dizze tieden.
Het was zo ver.;t Was zo wied.
Pa en moeke gaan met hem mee naar Delfzijl, op de fiets.;Pa en moeke goan mit hom mit noar Delfziel, op fiets.
Een kleine boot was het.;n Schiere boot was t.
Niet zo'n dik schip, maar hij mocht zijn man zijn.;Nait zo’n dik schip, mor hai mog zain worren.
Afscheid was zwaar, moeke huilde zo hard, ook pa had zijn zakdoek erbij.;Oafschaaid was swoar, moeke reerde zo haard, ook pa haar buusdouk derbie.
Maar Eppie was zo blij.;Mor Eppie was zo blied.
Zijn boot, zijn droom, zijn denken aan zee was werkelijkheid geworden.;Zien boot, zien dreum, zien denk aan zee was woarhaid worren.
“Marie Helena” blies op zijn toeter, voer haven uit.;“Marie Helena” bloasde op zien toeter, voarde hoavengat oet.
Eppie zwaaide, pa zwaaide, moeke zwaaide.;Eppie wuifde, pa wuifde, moeke wuifde.
Weg was de boot.;Vot was boot.
Drie maanden zou de jongen weg blijven, op die grote zee.;Drij moanden zol jong votblieven, op dij grode zee.
Brieven zouden geschreven worden, dat was de afspraak.;Braiven zollen schreven worren, dat was òfsproak.
Twee maanden had moeke uitgekeken naar een brief, niets van dat al.;Twij moand haar moeke oetkeken noar n braif, niks van dat aal.
Ook pa maakte zich zorgen, dat deed hij niet gauw.;Ook pa muik zok zörgen, dat dee hai nait gaauw.
Het was een winterdag, koud, veel sneeuw.;t Was winterdag, kold,veul snij.
Nog geen;Nog gain
Vries-Maarhuis brief, zo lang was hij weg.;Vries-Maarhuis braif, zo laank was e vot.
Toen er op een avond werd gerammeld aan de voordeur, deed moeke open, daar stonden twee vreemde mannen bij de deur.;Dou op n oavend wer der aan boetendeur rammeld, moeke dee open, doar stonnen twij vrumde manlu bie deur.
“Woont hier familie Mulder”?;“Woont hier familie Mulder”?
” Ja”, zei moeke.;” Joa”, zee moeke.
“Mogen wij binnenkomen, wij zijn van het kantoor waar de “Marie Helena” voor vaart.;“Mogen wij binnenkomen, wij zijn van het kantoor waar de “Marie Helena “ voor vaart.
Een paar tijden waren die mensen, een jobstijd.;n Maal tieden haren dij lu, n jobstieden.
Eppie dood.;Eppie dood.
“Marie Helena” was in een zware storm met man en muis vergaan.;“Marie Helena” was in swoare störm mit man en moes vergoan.
Wat een schok, het verdriet was niet om aan te zien.;Wat n bosschop, verdrait was nait om aan te zain.
Dood was hij, aangespoeld op het strand bij Finland.;Dood was e, aanspould op straand bie Finlaand.
Mensen zullen wel regelen dat de jongen thuis komen zal in deze dagen.;Lu zollen wel regeln dat jong toes kommen zol ain dizzer doagen.
Zo werd Eppie in een loden kist thuis gebracht, die stoere matroos.;Zo wer Eppie in n loden kist thoes brocht, dij stoere metroos.
Mensen in het dorp waren verbijsterd, hij was ja net weg.;Minsken in dörp wazzen verhilderd, hai was ja krekt vot.
Nu al dood?;Nou aal dood.?
Omgekomen in het water.;Omkommen in wodder.
Het dorp raakte in rouw.;Dörp raauwde.
Eppie stond in de voorkamer, uit deze tijd.;Eppie ston in veurkoamer, oet dizze tied.
Het hele dorp was uitgelopen op de begrafenis.;Haile dörp was oetlopen op begraftenis.
Veel tranen voor Eppie, en voor zijn pa en moeke.;Veul troanen veur Eppie, en veur zien pa en moeke.
Sober begraven, op zijn graf een boot de “Marie;Sibboern begroaven, op zien graf n boot de “Marie
Helena.”;Helena.”
Veel tranen voor die stoere matrozen, hun eerste en laatste reis naar de eeuwigheid.;Veul troanen veur dij stoere metroos, zien eerste en leste raais noar d’aiveghaid.
Vergeten?;8 Vergeten ?
Nooit zal ik die tijd vergeten, altijd zal ik het onthouden.;Nooit zel ik dij tied vergeten, aaltied zel ik t ontholden:.
Ons werd geleerd: pluk geen appels of peren bij de boer, de smaak is dan altijd zuur!;Ons wer leerd: Pluk gain appels of peren bie de boer, de smoak is den aaltied zoer!
Eerlijkheid duurt het langst, waarom houdt men mij dan zo vaak voor de gek?;Eerlekhaid blift t laangste duren, woarom legt men mie den zo voak in de luren?
Vruchten van het seizoen kwamen uit eigen tuin, onder stro of hooi bleven appels bewaard.;Vruchten van t seizoen kwamen uut aigen goard, onder stro of heu bleven appels bewoard.
Ik weet nog hoe de belletjes van de ijsschaatsen klonken, hoe de koperen deksels op de ketels klonken...;Ik wait nog hou de belletjes van de ieskare klonken, hou of de kopern deksels op de kare blonken....
In de schoolvakanties moesten wij op het veld appels rapen.;In schoulvekaansies mozzen wie op t veld eerappels roapen.
De frietjes die moeder daarvan maakte, lieten wij ons lekker smaken.;De frieten dij moeke doarvan muik, laiten wie ons lekker smoaken.
Ook moesten wij helpen bij het stroschoven binden, daar kon men ons ook tijdens de schoolvakanties wel vinden.;Ook mozzen wie helpen bie t stroschoven binden, doar kon men ons ook tiedens de schoolvekaansies wel vinden.
Wij moesten samen het hooi helpen keren, toch kunnen wij een prachtige jeugd rustig beweren.;Wie mozzen mit mekoar t heu helpen keren, toch haren wie n prachtege jeugd kin k rusteg beweren.
Korenbloemen plukten wij aan de rand van korenvelden, met zo'n boeketje werd moeder verwend, dat kan ik je wel vertellen.;Koornbloumen plukten wie aan raand van koornvelden, met zo’n boeketje wer moeke verwend, kin ik joe wel vertellen.
Aardbeien, ik weet niet hoeveel ik er plukte, voordat moeder ze in de weckpotten stopte.;Aarten, ik wait nait houveul ik der dopte, veurdat moeke ze in de weckvlezze stopte.
Van rabarber, pruimen, aardbeien en zo maakte moeder confituur, zij was de juiste maat suiker, anders was de smaak te zuur.;Van rebaarber, proemen, eerdjebaien en zo muik moeke confituur, zai wos de juuste moat van suker, aans was de smoak te zuur.
Om hun klevende eigenschappen plukten wij de kleine klis,;Om heur klevende aigenschappen plukten wie de klaaine klis,
Die gooiden wij de meisjes in het haar, volgde meestal straf, niet mis!;Dij gooiden wie de wichter in t hoar, volgde mainsttied straf, nait mis!
Als jongens maakten wij pijl en boog van een geschikte tak, waarop een strijd voor de overwinning uitbrak.;As jonges muiken wie piel en bogen van n geschikte tak, woarop n stried veur de overwinning uutbrak.
Mijn eerste liefde en ik hebben onze naam op een boom geschreven, het bos van vroeger is verdwenen, mijn eerste liefde is niet gebleven...;Mien eerste laifde en ik hebben onze noam op n boom schreven, ’t bos van vrouger is verdwenen, mien eerste laifde is nait bleven....
Toch denk je op latere leeftijd terug aan die mooie tijd.;Toch denk je op loatere leeftied terug aan dij mooie tied.
Dit soort herinneringen raak je nooit meer kwijt!;Dit soort herinnerns roak je nooit weer kwiet!
Staal;Staal
Plaats aan de;Ploats aan de
Eems;Eems
Joseph en naar nog veel meer.;9 Joseph en noar nog veul meer.
Waar je ook keek: altijd was er wel wat van keizerin Sissi in beeld.;Woar of je ook keken: Aaltied was der wel wat van kaaizerin Sissi in beeld.
Het was geweldig en bovendien nog slim gezellig ook.;t Was geweldeg en boetendes nog slim gezelleg ook.
Er werd veel gelachen.;Der wör veul laagd.
Mijn vrouw genoot.;Mien vraauw genoot.
Zij had de tijd van haar leven.;Zie har de tied van heur leven.
Zelf vond ik het al slim vermoeiend.;Zölf von k t aal slim vermuiend.
Ik had zere voeten van het lopen en hoofdpijn van alles wat er verteld werd.;k Har zere vouten van t lopen en kopzere van alles wat der verteld wör.
Het duizelde me van alle kerken, paleizen en standbeelden.;t Doezelde mie van ale kerken, paleizen en standbeelden.
Ik was blij dat wij eindelijk weer naar huis reden.;k Was bliede dat wie eindelk weer op hoes aan reden.
Onderweg zat ik nog eens na te denken over al die oude gebouwen die ik gezien had.;Underwegens zat k nog ais noa te denken over aal dai olle gebaauwen dai k zain har.
Er vormde zich een gedachte in mijn hoofd die ik niet benoemen kan.;Der vörmde zuk n gedachte in mien kop dai k nait benuimen kön.
Ik kwam er niet uit.;k Kwam der nait oet.
Totdat wij weer bij de stad aankwamen.;Totdat wie weer bie stad aankwammen.
Bij het zien van de Martinitoren viel alles op zijn plek.;Bie t zain van de Martinitoren vuil alles op zien stee.
Heel makkelijk: al die oude gebouwen bestaan uit niets anders dan oude stenen.;Hail makkelk: Aal dai olle gebaauwen bestoan oet niks anders as olle stainen.
Bij de ene net even wat mooier op en tegen elkaar geplaatst dan bij de andere.;Bie de aine net even wat mooier op en tegen mekoar vlaaid as bie d’aander.
Net als bij die Oude Grieken maar dan anders.;Net as bie dij Olle Grieze mor dan anders.
Ik was blij dat ik weer thuis was.;k Was bliede dat k weer in hoes was.
Zag toevallig ook tegen de komende kerstdagen op:;Zag touglieks ook tegen de kommende kerstdoagen op:
Er kwamen drie films van;Der kwammen drij films van
Sissi op televisie.;Sissi op televizie.
Jan Hoiting Wenen Mijn vrouw wilde slim graag een maal naar Wenen.;Jan Hoiting Wenen Mien vraauw wol slim geern n moal noar Wenen.
Maar het bleef er altijd bij.;Mor t bleef der aaltied bie.
Alteed was er iets waarom het niet doorging.;Aalgedureg was der wat woarum of t nait deurgung.
Maar afgelopen december zal het dan weten.;Mor òflopen december zol t dan weden.
Met de bus.;Mit de bus.
Dat was de reden dat ik ook wel eens een keer op reis wilde zonder zelf te rijden.;Dat was umreden dat k ook wel ais n moal op raaize wol zunder zölf te rieden.
Gewoon achterover zitten en een ander het werk laten doen.;Gewoon achterover zitten en n aander t waark doun loaten.
Ik was niet erg benieuwd naar wat er allemaal te zien was, maar ik wilde wel mee.;k Was nait slim benijd noar wat of doar aal te zain was, mor k wol wel mit.
Eens in de zoveel tijd wat andere mensen om me heen hebben en wat andere gesprekken leek me wel wat.;Ais n moal wat aandere lu um mie tou en wat aandere proat leek mie wel wat.
Ik zou het allemaal gewoon over me heen laten komen.;k Zol t aal gewoon over mie hèn kommen loaten.
De aftocht was 's ochtends om kwart over tien in Beek bij Arnhem.;De òfraaize was smörgens um kwart over tiene in Beek bie Arnhem.
Er zatten een grote groep van een kerel met lang haar, een echtpaar uit;Der zatten n grode gozzel van n kirrel mit laank hoar, n echtpoar oet
Zeeland en een Spanjaard uit;Zeeland en n ainspaanjer oet
Hoog bij ons in de bus.;Hoag bie ons in de bus.
Met deze mensen trokken we het meeste op.;Mit dizze lu trokken wie t maiste op.
Verder waren het meestal ouderen en een stuk of wat weduwen.;Wieder warren t maist oldern en n stuk of wat wedevraauwen.
Ik had daar geen hoge verwachtingen van.;k Har der gain hoge pedde van op.
Achmed zat achter het stuur en Tineke was de reisleidster.;Achmed zat achter t stuur en Tineke was de raaislaaidster.
Tineke knoopte een witte theedoek om de microfoon.;Tineke knupde n widde buusdouk um de microfoon.
Anders kreeg ze er uitslag van, zei ze.;Anders kreeg ze der oetslag van, zee ze.
Achmed was een goede chauffeur die al jarenlang reed.;Achmed was n goaie chauffeur dai van jeurjoagen huil.
Tineke gaf wat algemene informatie.;Tineke gaf wat algemaine informoatie.
De reis naar Wenen zou twee dagen duren.;De raaize noar Wenen zol twij doage duren.
De terugreis ook.;De weerumraaize ook.
Het was tamelijk stil in de bus.;t Was toamelk stil in de bus.
Het waren ook ja bijna allemaal vreemden voor elkaar.;t Warren ook ja ook hoast aal vrömden veur mekoar.
Na de eerste koffiestop werd het beter.;Noa d’eerste kovviestop wör t beter.
Het was erg mooi onderweg.;t Was slim mooi underwegens.
Ik genoot.;Ik genoot.
De volgende ochtend reden we rond een uur of elf de grens met Oostenrijk over.;Aanderdoagsmörgens reden wie um n uur of elven de grens mit Oostenriek over.
Tegen de middag werd er gestopt bij een prachtig oud klooster.;Tegen de middag wör der stopt bie n prachteg ol klooster.
Een jong meisje vertelde ons daar alles over:;n Jong ding vertelde ons der alles over:
Hoe oud het was, wie er allemaal gewoond hadden, hoeveel dakpannen er op lagen en hoe lang de hoofdgang in het klooster was.;Hou old of t was, wel der aal woond harren, houveul dakpannen of der op laggen en hou laank de hoofdgaange in t klooster was.
Heel interessant allemaal.;Hail interessant aalmoal.
's Avonds was er een lichttoer door Wenen.;Soavends was der n lichttoer deur Wenen.
Ook erg mooi.;Ook slim mooi.
Tineke wees veel oude gebouwen aan en zei wat het was.;Tineke wees veul olle gebaauwen aan en zee wat of t was.
Zij zou daar later op terugkomen.;Zie zol der loater op trugge kommen.
Zij noemde ook standbeelden: van Mozart en Goethe, van keizer zus en keizerin zo.;Zie luit ook standbeelden zain: Van Mozart en Goethe, van kaaizer zus en kaaizerin zo.
En van nog veel meer mensen die al jaren dood waren.;En van nog veul meer lu dai al joaren dood warren.
Zij kwam overal nog op terug.;Zie kwam overaal nog op trugge.
Er was veel te zien met over alles veel informatie.;Der was veul te zain mit over alles veul informoatie.
We gingen naar een concert van Mozart en naar het paleis van keizer Franz;Wie gungen noar n concert van Mozart en noar t paleis van kaaizer Franz
Trix het;Trix t
Er is een keer of wat gebeurd dat de koningin voor een of ander tweedaags werkbezoek onze provincie bezocht.;Is n moal of wat gebeurd dat keunegin veur ain of aander twijdoags waarkbezuik onze pervinsie aan dee.
Zij bleef dan slapen in de ambtswoning van haar commissaris.;Zie bleef dan sloapen in de ambtswoning van heur commesoares.
Die was daarop ingesteld en had altijd een kamer voor haar klaarliggen.;Dai was der op insteld en har aaltied n koamer veur heur in odder.
Voor haar veiligheid werd de politie ingezet.;Veur heur vaaileghaid wör de plietsie inzet.
Twee man in een voorkamer met zicht op de voordeur en twee man in het tuinhuisje achter het huis.;Twij man in n veurkoamer mit zicht op veurdeure en twij man in t toenhoeske achter t hoes.
Politie was daar ook wel eens in huis in tijden dat er bepaalde spanningen bestonden ten aanzien van de commissaris zelf.;Plietsie was der ook wel ais in hoes in tieden dat der n bepoalde draaigen beston ten aanzain van de commesoares zölf.
Ik noem Wijster en De Punt.;Ik nuim Wijster en De Punt.
Dan weet je het wel.;Dan waiten joe t wel.
Er werd altijd goed voor de politie gezorgd.;Der wör aaltied goud veur de plietsie zörgd.
Zo stonden in de voorkamer, op de grote ronde tafel, altijd verse koffie en een grote trommel met roomboterkoekjes.;Zo stön in de veurkoamer, op de grode ronde toavel, aaltied vrizze kovvie en n grode tromme mit roombotterkoekjes.
Er liep ook een hondje in huis.;Der luip ook n hondje in hoes.
Trix.;Trix.
Maar zo'n turf hoog.;Mor zuneg n törf hoog.
