nld_Latn;gos_Latn
De garagehouder voelde goed aan hoe het zat.;Garageholder vuilde goud aan hou of t zat.
Hij had er nog een mooie Volvo staan.;Hai har der nog n schiere Volvo stoan.
Niet te veel lopen en in prima staat.;Nait te veul lopen en in prima stoat.
Met een auto.;Mit n automoat.
Dus geen schokken.;Dus gain geschoakel.
Albert kon er nog jaren plezier aan hebben.;Albert kon der nog joaren plezaaier van hemmen.
Als we er maar eens in gaan zitten, dan gaan we er even mee rijden.;‘Goa der mor ais in zitten, dan goan we der n eindje mit rieden’.
De auto reed als een terriër.;d’Auto ree as n tierelier.
En de prijs voelde zich niets af.;En de pries vuil hum niks òf.
Hij belde zijn vrouw op en vertelde hoe het voor stond.;Hai belde zien vraauw op en vertelde hou of ter veur ston.
Ze begreep dat er niet veel anders op zat.;Ze begreep, dat der nait veul aans op zat.
Doe het maar, zei ze.;‘Dou t mor’, zee ze.
Een Underholdswagen en twee nieuwe achterbanden waren bij de prijs inbegrepen.;n Underholdsbeurt en twij nije achterbanden warren bie de pries inbegrepen.
Een paar dagen later stond de Volvo bij Albert en Gitje voor de deur.;n Poar doagen loater ston de Volvo bie Albert en Gitje veur de deure.
Ze hadden haar hum mooi voor hum opgepoetst.;Zie harren hum mooi veur hum oppoetst.
Hij gleed erover.;Hai glom der over.
En Albert ook.;En Albert ook.
Na het warme eten gingen ze aan de rit.;Noa t waarme eten gungen ze aan de rit.
De kinderen moeten de auto ook even zien.;Kinder mössen d’auto ook even zain.
Op de weersomstandigheden bekeken;Op de weerumweg keek
"Ze ging opzij naar haar man en zei: ""Dat rijdt inderdaad veel beter dan die oude";Gitje opzied noar heur man en zee: ‘Dizze ridt inderdoad veul beter as dai olle
Ja, of niet.;Daf, of nait den’.
Ja, het was een goede boodschap.;Joa, t was een goie koop west.
Dus dan kunnen we, als het even zo uitkomt, ook een eindje verder weg.;‘Dus dan kinnen wie, as t ais n moal zo oet komt, ook wel n eindje wieder vot’.
Albert had zijn gedachten meer bij zijn nieuwe auto dan bij het vechten van zijn vrouw.;Albert har zien gedachten meer bie zien nije auto as bie t gekwedel van zien vraauw.
Ja, dat kan wel.;‘Joa, dat kan wel’.
Goed, dan gaan we morgen maar eens terug naar de Stad.;‘Mooi, dan goan we mörgen mor ais n moal weer noar t Stad tou.
Ik moet een nieuwe jurk hebben, kwam Gitje met de aap uit de war.;Ik mout neudeg n nij klaid hemmen’, kwam Gitje mit de oape oet de maauwe.
Hier had hij niet op rekend.;Hier har e nait op rekend.
Of durf je er niet op? Jeetje wist wat of zijn vochtige punt was.;‘Of duurfst der nait op aan?’ Gitje wus wat of zien gevuilege punt was.
Nee, dat was geen probleem.;Nee, dat was gain probleem.
Morgen was het goed.;Mörgen was goud.
Hij liet zichzelf niet kennen.;Hai luit zuch nait kennen.
Die avond mocht hij een praatje over de hoge 16 met buurman.;Dai oavend muik e n proatje over de hege 16 mit buurman.
Dai onderzocht hoe hij mocht rijden en waar hij het beste kon parkeren.;Dai stokde hum oet hou of e rieden mös en woar of e t beste parkeren kon.
En zo reden ze 's avonds met de Volvo naar Stad.;En zo reden ze saanderdoags mit d Volvo noar Stad.
Zonder enige twijfel reed Albert naar de IKEA of hij de auto geparkeerd had.;Zunder ainege twievel ree Albert noar d’Ikea woar of e d’auto parkeerde.
Zo, en toch gaan we met de bus naar het centrum.;‘Zo, en non goan we mit de bus noar t centrum’.
Het kind keek vol bewondering naar hem.;Gitje keek hum vol bewondern aan.
Dat weet jij dat allemaal.;‘Das doe dat aal waist’.
Albert voelde zich opeens een jaar of wat jonger.;Albert vuilde zuch op slag n joar of wat jonger.
Toen ze later op de Grote Markt uitstappen waren, liep hij wat recht op de as anders.;Dou ze loater op Grode Maarkt oetstapt warren, luip e wat rechter op as aans.
Het meisje ging naar de C&A. Na een uurtje passeren en cheuren huilen ze een jurk en rok met een bloes over.;Gitje wol noar C&A. Noa n uurtje pazen en keuren huil ze n klaid en rok mit n bloeze over.
Het was uiteindelijk gekleed.;Het wör oeteindelk t klaid.
De keuze was moeilijk.;De keuze was stoer.
Hij drong er nog op aan dat ze de rok en de bloes ook mee nam, maar dat was niet nodig.;Hai drong der nog op aan dat ze de rok en de bloeze ook mit nam, mor dat was nait neudeg.
Toen wilde ze in hemelsnaam nog wat rondneustern.;Dou wol ze in d’Hema nog wat rondsnuustern.
Blijf maar buiten, had je het toch wel, denk ik.;‘Blief doe mor boeten, doe hes t non wel had, ducht mie’.
Dat was zo.;Dat was zo.
Het was lekker warm weer.;t Was lekker waarm weer.
Albert zette zich voor de winkel op.;Albert stelde zuch veur de winkel op.
Lekker in de zon.;Lekker in de zunne.
Kon hij op zijn gemak eens kijken of er alles voorbij kwam.;Kon e op zien gemak ais kieken wat of der aal veurbie kwam.
Oma, dat was de moeite wel de moeite waard.;Non, dat was de muite wel weerd.
Albert kon dan op leeftijd zijn, hij was niet blind.;Albert mög dan op leeftied wezen, blind was e nait.
Na een poosje kwam er jonge knop op de knop.;Noa n zijtje kwam der jonge knuppel op hum tou.
Iemand van een jaar of zestien.;Aine van n joar of zestien.
Mooier dan brandhout.;Moager as brandholt.
De knuffel droeg aan zijn kont.;Boksem under aan zien kont.
Hij had een sigaret in zijn hand.;Hai har n sigaret in haand.
Geen gewone, maar dikke grijze zon.;Gain gewone, mor zon dikke graauwe.
De vloeistof was aan de dikke buitenkant dichtgedraaid.;t Vloeitje was aan t dikke oetènde dichtdraaid.
Albert zag het weg.;Albert zag t vot.
Dit was een met hash erin.;Dit was aine mit hash der in.
Dit was een joint.;Dit was n joint.
"De jongen huil de joint voor en zei: ""Helden jullie een vuurje voor mij?"" ""Nee, dat hadden ze niet.""";Jong huil hum de joint veur en zee: ‘Hemmen joe n vuurtje veur mie?’ Nee, dat har e nait.
Hij rookte immers al bijna dertig jaar niet meer.;Hai rookde ja ook al hoast datteg joar nait meer.
Albert voelde zich voor de tweede keer dag een stuk jonger te worden.;Albert vuilde zuch veur de twijde moal dai dag n stuk jonger worden.
Het is moe dat hij geen vuur bij zich had.;Het muide hum dat e gain vuur bie zuch har.
Dat zonnige jong hum, Albert, vuur vruig voor een joint.;Dat zon jong hum, Albert, vuur vruig veur een joint.
Misschien hebben we hem ook wel een trekje laten doen.;Meschain har e hum ook wel n trekje doun loaten.
Man, dat was wat West...!;Man, dat was wat west...!
Zaterdag moest ik met Je op verjaardagseizoen gaan.;Zoaterdag mös e mit Gitje op verjoardagsveziede.
Wat heeft hij dan iets te vertellen gehad...!;Wat har e dan wat te vertellen had...!
Het kind stond plotseling weer naast hum.;Gitje ston in ains weer noast hum.
Hij had hen heel veel niet zien komen...;Hai har heur hail nait kommen zain...
Met zwoegen stroomden ze de stad nog een beetje door.;Mit zuch baaiden struunden ze de stad nog wat deur.
De jongen vond het allemaal prachtig.;Gitje von t aal prachteg.
Het kledingwerk was helemaal goed.;t Klaid was hailemoal goud.
Zaterdagavond zou ze het aan doen.;Zoaterdagoavend zol ze m aan doun.
Mocht ze weer op de Kielstraatweg reden, sloeg bij Gitje de twijfel in.;Dou ze weer op Kielsterachterweg reden, sluig bie Gitje de twievel tou.
Dai roken en;Dai rok en
bloze wanden zijn toch ook wel mooi geweest.;bloeze warren toch ook wel mooi west.
Misschien was het toch beter geweest als ze dat ook had gekocht.;Meschain was t toch beter west as ze dai ook kocht har.
Hier hadden Albert wel op rekend.;Hier har Albert wel op rekend.
Hij kende zijn vrouw.;Hai kende zien vraauw.
O mensen, maak je maar druk niet, dan halen we daar toch morgen op.;‘Och mèns, moak die mor nait drok, dan hoalen we dai mörgen toch nog op’.
Dit antwoord hadden Gitje niet verwacht.;Dit antwoord har Gitje nait verwacht.
Kende ze haar man dan toch niet zo goed als zij dat wel deed?;Kende ze heur kirrel dan toch nait zo goud as dat ze doch?
Ze zei dat ze dat wel graag wilde.;Zie zee, dat ze dat wel geern wol.
En dan moest Albert zelf ook maar even zoeken voor een nieuwe broek.;En dan mös Albert zölf ook mor even kieken veur n naaie boksem.
Dat was hij ook wel aan.;Doar was e ook wel aan tou.
Albert zat te zwaar om te controleren of hij zijn oude Ronson het aansteker had laten steken.;Albert zat zwoar te prakkezaaiern woar of e zien olle Ronson aansteker loaten har.
Jan Hoiting ANNEKEDOTES Opoe's laatste wìnsk Opoe wordt 90 jaar.;Jan Hoiting ANNEKEDOTES Opoe's leste wìnsk Opoe wordt 90 joar.
Haar kinderen en kleinkinderen geven een groot feest voor haar.;Heur kiender en klainkiender geven n groot feest veur heur.
"Ze vragen haar: "" Moeder, hebben jullie nog een wijn?";"Zai vroagen heur: "" Moeke, hemmen ie nog n wìnsk?"
"""Joah,"" zegt de moeder, ""als ik doodga, wil ik gecremeerd worden."" ""OK,"" zeggen de kinderen, ""dat regelen we voor jullie.";""" ""Joa,"" zegt mouder, ""as ik dood goa, wil ik kremeerd worren."" ""OK,"" zeggen kiener, ""dat regeln wie veur joe."
"Maar hebben jullie dan helemaal geen andere wijnen meer?"" ""Ik zou het niet weten, zei moeder, ik";"Mor hemmen ie din haildal gain aandre wìnsken meer?"" ""k Zol t nait waiten”, zee moeke, “k"
"Heb toch alles."" """;"Heb toch alles."" """
"Maar we willen graag iets speciaals doen!"" zeggen de kinderen.";"Mor wie willen groag wat spesjoals doun!"" zeggen kiender."
"""O ja,"" zei de moeder, ""als ik dood ben en gecremeerd ben, strooi dan mijn as maar over de parkeerplaats bij de";"""Och joa,"" zee moeke, ""As ik dood bin en kremeerd, strui mien aaske din mor oet over parkeerploats bie de"
"Aldi."" ""Waarom";"Aldi."" ""Woarom"
Aldi, moeder? vroegen de kinderen.;"Aldi, mouder?"" vroagen kiener."
"""Ja, kinderen, dan weet ik in ieder geval dat jullie één of twee keer per week bij mij komen.""";"""Joa, kienderkes, dìn wait ik ien elks geval dat ie ain of twij moal ien week bie mie kommen."""
Omgezet uit het Nederlands.;Omtoald oet t nederlandsk.
Verantwoordelijkheid;Verantwoordelkhaid
"Hinderk komt thuis en zegt tegen zijn vrouw: ""De baas heeft mij nu eindelijk eens meer verantwoordelijkheid gegeven.""";"Hinderk komt thoes en zegt tegen zien vraauw: ""De boas het mie nou endelk ais meer verantwoordelkhaid geven."""
"Oaltje: ""Dat is ja mooi ja, wat bevat dat?""";"Oaltje: ""Da's ja mooi ja, wat holdt dat in?"""
"Minder: ""Ik ben nu verantwoordelijk voor alles wat fout gaat."" 17";"Hinderk: ""Ik bin nou verantwoordelk veur aal wat der mis gaait."" 17"
Mijn mooiste zin;Mien mooiste zin
Je hebt vorig jaar de eerste cursus gevolgd;Dou veureg joar eerste cursus
Amsterdam begon, er kwamen heel veel reacties van de media.;Amsterdam begon, kwamen der n hail bult reacties van de media.
Aan het einde van het interview vroeg;Aan t ìnd van t interview vroug
Parole medewerker: En wat is uw mooiste woord? Fibeldekquint, antwoordde ik om er van af te zijn.;Paroolmitwaarkster: ‘En wat is joen mooiste woord?’ ‘Fiebeldekwinten’, antwoordde ik om der van òf te wezen.
In de eerste klas waren er zowel Een vandaag als TV-Noord.;Op eerste les waren zowel ‘Een vandaag’ as TV-Noord.
Ik hoop niet dat ze het me nog eens vragen, dacht ik bij mezelf.;‘Ik hoop nait dat ze t mie weer vroagen’, docht ik nog bie miezulf.
En wat is uw mooiste woord? Vroeger TVNoord-medewerker.;‘En wat is joen mooiste woord?’ vroug TVNoord-mitwaarker.
Fibeldeksuiten, zei ik maar weer.;‘Fiebeldekwinten’, zee ik mor weer.
Gister schoot het me in de eentje in de zin: ik had geen aardig woord kunnen zeggen, maar mijn mooiste zin: Haai maar op je kop staan en schiet dubbels!;Guster schoot mie t ien ainen ien t zin: ik haar heur nait n schier woord zeggen monnen, mor mien mooiste zin: ‘Gaai mor op kop stoan en schiet dubbeltjes!’
Hoe zegt u dat nou!;Hou zeg joe dat nou !
Mijn familie geeft me verhalen door degenen die in onze taal verteld zijn.;Mien femilie geft mie verhoaltjes deur dij in onze toal verteld binnen.
Zo ook een heel mooi stoeltje: een bestelling van een oude klant bij een Chinees.;Zo ook n hail mooi stoaltje : n bestellen van n grunneger klaant bie n Chinees.
Aan de ene van zijn bestellingen wil hij een olifant derbie.;Aan t ènne van zien bestellen wil hai eulifantsoren derbie.
Hier begint de Chinese vrouw helemaal niets van te begrijpen.;Hier begript de chinese vraauw hailendaal niks van.
Ze geeft hem over aan een Nederlander en beweert dat ze eraan komen dat hij kroepoek bedoelt.;Ze geft hom over aan n hollander en soamen kommen ze deroet dat hai ‘kroepoek’ bedoult.
Ja, als je in je eigen gezin eigen woorden gebruikt, dan kun je voor zulke toestanden komen.;Joa, as je in joen aigen femilie aigen woorden gebruken, den kin je veur zukke toustanden kommen.
Toen ik jaren geleden nog gauw gewoon om boodschappen ging, vroeg ik bij de verzendelingen (ja, toen werd het nog eventueel voor u afgesneden) om een paar van onze fruitvlees.;Dou k joaren leden nog gaauw eefkes om boodschop ging, vruig k bie de versofdailen ( joa, dou wer t nog votdoadelk veur joe ofsneden) om n poar ons vruchtenvlaais.
De verkoper keek me heel vreemd aan, had dat spul haar niet.;De verkoopster keek mie hail vremd aan, den dat spul haar ze nait.
"Nee, nogal ver van toen noemden we ""boerenmetwortel"" zo, omdat mijn dochter, die gek was op fruitbrood, die naam er in een vergelijking voor had uitgevonden.";Nee, nogal wiedes den wie nuimden ‘boerenmetworst’ zo, omdat mien dochter, dij gek was op vruchtenbrood, dij noam der in n vergelieken veur uutvonden haar.
Zo kun je behoorlijk op het spel komen!;Zo kin je oardeg op de korrel kommen!
Stroombad via Ginie Bakker Giny Vonk;Stroombraifke via Ginie Bakker Giny Vonk
18 VERGETEN WAT VERGETEN?;18 VERGETEN Wat vergeten?
's Morgens vragen wat of we eten gaan wel vijf keer verteld, soms wat verontwaardigd maar hij is het vot weer vergeten...;Smörgens vroagen wat of wie eten goan wel vief keer verteld, soms wat vergreld mor hai is t vot weer vergeten...
Ik heb je toch gezegd, aldoor uitgelegd wat ik gekocht heb en wat we gaan eten.;Ik heb die toch zegd, aaldeur oetlegd wat ik kocht heb en wat wie eten goan.
Hij kijkt me aan, hij is het alweer vergeten...;Hai kikt mie aan, hai is t al weer vergeten...
De namen van kinderen en kleinkinderen, hij is ze vergeten...;Noamen van kinder en klaainkinder, hai is ze vergeten...
Familie en vrienden?;Femilie en vrunden?
zeg hem niets meer, ik vertel het hem, steeds weer, maar het is net als met eten: hij is alles zo weer vergeten...;zeggen hom niks meer, k vertel t hom, aaldeur weer, mor t is net as mit t eten: hai is alles zo weer vergeten...
Plots kijkt hij naar mij, hij lacht en zegt: Zo, gek meisje uit Midwolle!;Inains kikt e mie aan, hai laagt en zegt: Zo, gek wicht oet Midwolle!
Hij lijkt even weer dom.;Hai liekt even weer d’olle.
Daar draait hij om, hij moet eten.;Dìn draait e zok om, hai mot eten.
Ik ben het al lang vergeten...;Mie is e al laank weer vergeten...
Had je een;Haarst n
De luie doek werd rond, in de eenzaam verdraaid duisternis de filaaineg ster wilden momenten dwaalend ploegen fluisteren.;Sloerege dook woart rond, ien ainzoam verdraitelk duustern filaaineg wilstern memènten dwirreln ploagen fluustern.
Verwarmde wolken beschoten roeg en rebellen uittreden poes vergeleken vervormd maan terwijl mijn wezen de zin in het leven vergat.;Vergrèlde wolken juchtern roeg en rebèls oetreten poazen vergedelk vervremd maank mien gewaiten doun zin ien leven vergeten.
Jouw ruzieke aanwijzingen strekt deel als de vraad vernield klaagelk weer om het gehele jaar alleen betrekkelijk de zon strikt mij verduide door het haar.;Dien roezeg aandoeken striekt dail as vraid vernien kloagelk weerom aal joar bloots betroande zunschien strikt mie vertwieveld deur t hoar.
Jan de Jong Opmerkingen van een grootmoeder Er waren altijd kinderen die iets deugenaands onthielden.;Jan de Jong Optaikens van n grootmoe Aaltied waren der kinder dij wat deugennaits oethoalden.
Wat doe je dan?;Wat dou je din?
Niet slaan, niet ragen.;Nait sloagen, nait raggen.
Dat is niet goed.;Das nait goud.
De eendjes uit elkaar zetten.;Eefkes apaart zetten.
Dat verpest.;Das beder.
Vroeger in de hoek, nu momenteel op een daarvoor bestemd stoeltje.;Vrouger in houke, nou op t heden op n doarveur bedould stoultje.
